SPIELER,TORE,7M,%,TF,V,2',D
Römer Leandro Maurin,1/1,0,100,1,1,1,0
Targise Giuliano,2/2,0,100,,0,0,0
Kiener Nils,3/3,0,100,2,0,1,0
Zuege Jan,1/3,0,33,,0,0,0
Römer Flavian,10/15,0,66,2,0,0,0
Zahm Justin John Werner,0/3,0,0,1,0,0,0
Gerber Marc,1/1,0,100,1,0,0,0
Ebner Leo Aliou,0,0,,,0,0,0
Plüss Thierry Lionardo Bonaventura,2/3,0,66,1,0,0,0
Baumann Yanic Simon,8/11,2/2,72,1,0,3,0
Schweizer Micha,4/9,0,44,1,0,0,0
Schmutz Lukas,0,0,,,0,0,0
Roth Alexander,1/1,0,100,1,0,0,0
Rudin Sebastian,0,0,,,0,0,0
